Bah.Af.,FGA,29,0.0064
Bah.Af.,FGA,31,0.0064
Bah.Af.,TPOX,6,0.0665
Bah.Af.,TPOX,7,0.0253
Bah.Af.,TPOX,8,0.3228
Bah.Af.,TPOX,9,0.2184
Bah.Af.,TPOX,10,0.0886
Bah.Af.,TPOX,11,0.2437
Bah.Af.,TPOX,12,0.0348
Bah.Af.,D16S539,8,0.038
Bah.Af.,D16S539,9,0.2184
Bah.Af.,D16S539,10,0.0981
Bah.Af.,D16S539,11,0.3006
Bah.Af.,D16S539,12,0.1741
Bah.Af.,D16S539,13,0.1424
Bah.Af.,D16S539,14,0.0253
Bah.Af.,D16S539,15,0.0032
Bah.Af.,D13S317,7,0.0031
Bah.Af.,D13S317,8,0.0278
Bah.Af.,D13S317,9,0.0309
Bah.Af.,D13S317,10,0.0247
Bah.Af.,D13S317,11,0.3056
Bah.Af.,D13S317,12,0.3951
Bah.Af.,D13S317,13,0.1605
Bah.Af.,D13S317,14,0.0525
Bah.Af.,D5S818,8,0.071
Bah.Af.,D5S818,9,0.0093
Bah.Af.,D5S818,10,0.0586
Bah.Af.,D5S818,11,0.2438
Bah.Af.,D5S818,12,0.3704
Bah.Af.,D5S818,13,0.2253
Bah.Af.,D5S818,14,0.0154
Bah.Af.,D5S818,15,0.0062
Bah.Af.,D21S11,24.3,0.0054
Bah.Af.,D21S11,27,0.0701
Bah.Af.,D21S11,28,0.2197
Bah.Af.,D21S11,29,0.1752
Bah.Af.,D21S11,30,0.1783
Bah.Af.,D21S11,30.2,0.0096
Bah.Af.,D21S11,30.3,0.0032
Bah.Af.,D21S11,31,0.0955
Bah.Af.,D21S11,31.2,0.051
Bah.Af.,D21S11,32,0.0191
Bah.Af.,D21S11,32.2,0.0987
Bah.Af.,D21S11,33,0.0032
Bah.Af.,D21S11,33.2,0.0382
Bah.Af.,D21S11,34,0.0064
Bah.Af.,D21S11,34.2,0.0032
Bah.Af.,D21S11,35,0.0223
Bah.Af.,D3S1358,14,0.0764
Bah.Af.,D3S1358,15,0.3185
Bah.Af.,D3S1358,15.2,0.0032
Bah.Af.,D3S1358,16,0.3376
Bah.Af.,D3S1358,17,0.1975
Bah.Af.,D3S1358,18,0.0637
Bah.Af.,D3S1358,19,0.0032
Bah.Af.,VWA,11,0.0093
Bah.Af.,VWA,13,0.0278
Bah.Af.,VWA,14,0.0617
Bah.Af.,VWA,15,0.1512
Bah.Af.,VWA,16,0.2623
Bah.Af.,VWA,17,0.2058
Bah.Af.,VWA,18,0.1821
Bah.Af.,VWA,19,0.071
Bah.Af.,VWA,20,0.0278
Bah.Af.,CSF1PO,6,0.0032
Bah.Af.,CSF1PO,7,0.0633
Bah.Af.,CSF1PO,8,0.057
Bah.Af.,CSF1PO,9,0.0506
Bah.Af.,CSF1PO,10,0.2342
Bah.Af.,CSF1PO,11,0.2215
Bah.Af.,CSF1PO,12,0.288
Bah.Af.,CSF1PO,13,0.0696
Bah.Af.,CSF1PO,14,0.0095
Bah.Af.,CSF1PO,15,0.0032
Bah.Af.,D8S1179,9,0.0032
Bah.Af.,D8S1179,10,0.0223
Bah.Af.,D8S1179,11,0.051
Bah.Af.,D8S1179,12,0.1306
Bah.Af.,D8S1179,13,0.1879
Bah.Af.,D8S1179,14,0.3376
Bah.Af.,D8S1179,15,0.1847
Bah.Af.,D8S1179,16,0.0605
Bah.Af.,D8S1179,17,0.0223
Bah.Af.,D18S51,10,0.0096
Bah.Af.,D18S51,11,0.0096
Bah.Af.,D18S51,12,0.0478
Bah.Af.,D18S51,13,0.051
Bah.Af.,D18S51,13.2,0.0032
Bah.Af.,D18S51,14,0.0446
Bah.Af.,D18S51,15,0.1561
Bah.Af.,D18S51,15.2,0.0032
Bah.Af.,D18S51,16,0.1688
Bah.Af.,D18S51,17,0.1847
Bah.Af.,D18S51,18,0.1274
Bah.Af.,D18S51,19,0.0955
Bah.Af.,D18S51,20,0.0478
Bah.Af.,D18S51,21,0.0223
Bah.Af.,D18S51,21.2,0.0032
Bah.Af.,D18S51,22,0.0255
USAf.2,TH01,5,0.005
USAf.2,TH01,6,0.1175
USAf.2,TH01,7,0.425
USAf.2,TH01,8,0.1875
USAf.2,TH01,9,0.135
USAf.2,TH01,9.3,0.1225
USAf.2,TH01,10,0.0075
USAf.2,D7S820,7,0.005
USAf.2,D7S820,8,0.2325
USAf.2,D7S820,9,0.1125
USAf.2,D7S820,10,0.34
USAf.2,D7S820,11,0.2175
USAf.2,D7S820,12,0.0775
USAf.2,D7S820,13,0.01
USAf.2,D7S820,14,0.005
USAf.2,FGA,17,0.0025
USAf.2,FGA,18,0.005
USAf.2,FGA,18.2,0.015
USAf.2,FGA,19,0.0675
USAf.2,FGA,19.2,0.0075
USAf.2,FGA,20,0.045
USAf.2,FGA,20.2,0.0025
USAf.2,FGA,21,0.095
USAf.2,FGA,22,0.175
USAf.2,FGA,22.2,0.0025
USAf.2,FGA,23,0.1975
USAf.2,FGA,24,0.1625
USAf.2,FGA,25,0.1125
USAf.2,FGA,26,0.0425
USAf.2,FGA,27,0.035
USAf.2,FGA,28,0.0175
USAf.2,FGA,31,0.015
USAf.2,TPOX,6,0.0625
USAf.2,TPOX,7,0.025
USAf.2,TPOX,8,0.3325
USAf.2,TPOX,9,0.21
USAf.2,TPOX,10,0.06
USAf.2,TPOX,11,0.27
USAf.2,TPOX,12,0.04
USAf.2,D16S539,7,0.0025
USAf.2,D16S539,8,0.04
USAf.2,D16S539,9,0.1825
USAf.2,D16S539,10,0.105
USAf.2,D16S539,11,0.31
USAf.2,D16S539,12,0.2075
USAf.2,D16S539,13,0.13
USAf.2,D16S539,14,0.0225
USAf.2,D13S317,8,0.045
USAf.2,D13S317,9,0.0325
USAf.2,D13S317,10,0.0225
USAf.2,D13S317,11,0.27
USAf.2,D13S317,12,0.405
USAf.2,D13S317,13,0.1525
USAf.2,D13S317,14,0.0725
USAf.2,D5S818,7,0.005
USAf.2,D5S818,8,0.0525
USAf.2,D5S818,9,0.0175
USAf.2,D5S818,10,0.05
USAf.2,D5S818,11,0.2825
USAf.2,D5S818,12,0.3575
USAf.2,D5S818,13,0.2075
USAf.2,D5S818,14,0.01
USAf.2,D5S818,15,0.005
USAf.2,D5S818,16,0.0025
USAf.2,D21S11,26,0.0025
USAf.2,D21S11,26.2,0.0025
USAf.2,D21S11,27,0.0375
USAf.2,D21S11,28,0.285
USAf.2,D21S11,29,0.2
USAf.2,D21S11,29.2,0.0025
USAf.2,D21S11,30,0.15
USAf.2,D21S11,30.2,0.0225
USAf.2,D21S11,31,0.07
USAf.2,D21S11,31.2,0.0375
USAf.2,D21S11,32,0.01
USAf.2,D21S11,32.2,0.08
USAf.2,D21S11,33,0.0025
USAf.2,D21S11,33.1,0.005
USAf.2,D21S11,33.2,0.035
USAf.2,D21S11,34,0.01
USAf.2,D21S11,34.1,0.0025
USAf.2,D21S11,34.2,0.0025
USAf.2,D21S11,35,0.035
USAf.2,D21S11,36,0.0075
USAf.2,D3S1358,11,0.0025
USAf.2,D3S1358,12,0.005
USAf.2,D3S1358,13,0.0125
USAf.2,D3S1358,14,0.085
USAf.2,D3S1358,15,0.275
USAf.2,D3S1358,16,0.3625
USAf.2,D3S1358,17,0.205
USAf.2,D3S1358,18,0.05
USAf.2,D3S1358,19,0.0025
USAf.2,VWA,13,0.0125
USAf.2,VWA,14,0.0525
USAf.2,VWA,15,0.1925
USAf.2,VWA,16,0.2525
USAf.2,VWA,17,0.245
USAf.2,VWA,18,0.1325
USAf.2,VWA,19,0.0725
USAf.2,VWA,20,0.015
USAf.2,VWA,21,0.01
USAf.2,VWA,22,0.005
USAf.2,CSF1PO,7,0.055
USAf.2,CSF1PO,8,0.07
USAf.2,CSF1PO,9,0.035
USAf.2,CSF1PO,10,0.3125
USAf.2,CSF1PO,11,0.225
USAf.2,CSF1PO,12,0.2425
USAf.2,CSF1PO,13,0.05
USAf.2,CSF1PO,14,0.01
USAf.2,D8S1179,8,0.005
USAf.2,D8S1179,9,0.0025
USAf.2,D8S1179,10,0.0075
USAf.2,D8S1179,11,0.0625
USAf.2,D8S1179,12,0.1075
USAf.2,D8S1179,13,0.225
USAf.2,D8S1179,14,0.31
USAf.2,D8S1179,15,0.1975
USAf.2,D8S1179,16,0.0575
USAf.2,D8S1179,17,0.025
USAf.2,D18S51,10,0.005
USAf.2,D18S51,11,0.0075
USAf.2,D18S51,12,0.0625
USAf.2,D18S51,13,0.0475
USAf.2,D18S51,13.2,0.005
USAf.2,D18S51,14,0.0625
USAf.2,D18S51,14.2,0.01
USAf.2,D18S51,15,0.1875
USAf.2,D18S51,16,0.1725
USAf.2,D18S51,17,0.15
USAf.2,D18S51,18,0.095
USAf.2,D18S51,19,0.0975
USAf.2,D18S51,20,0.0425
USAf.2,D18S51,21,0.035
USAf.2,D18S51,22,0.0175
USAf.2,D18S51,23,0.0025
USAf.3,TH01,6,0.1095
USAf.3,TH01,7,0.4405
USAf.3,TH01,8,0.1857
USAf.3,TH01,9,0.1452
USAf.3,TH01,9.3,0.1048
USAf.3,TH01,10,0.0143
USAf.3,D7S820,7,0.0071
USAf.3,D7S820,8,0.1735
USAf.3,D7S820,9,0.1571
USAf.3,D7S820,10,0.3238
USAf.3,D7S820,11,0.2238
USAf.3,D7S820,12,0.0905
USAf.3,D7S820,13,0.019
USAf.3,D7S820,14,0.0048
USAf.3,FGA,17,0.0028
USAf.3,FGA,18,0.0083
USAf.3,FGA,18.2,0.0083
USAf.3,FGA,19,0.0528
USAf.3,FGA,19.2,0.0028
USAf.3,FGA,20,0.0722
USAf.3,FGA,21,0.125
USAf.3,FGA,22,0.225
USAf.3,FGA,22.2,0.0056
USAf.3,FGA,23,0.125
USAf.3,FGA,24,0.1861
USAf.3,FGA,25,0.1
USAf.3,FGA,26,0.0361
USAf.3,FGA,27,0.0222
USAf.3,FGA,28,0.0167
USAf.3,FGA,29,0.0056
USAf.3,FGA,30,0.0028
USAf.3,FGA,31,0.0028
USAf.3,TPOX,6,0.0861
USAf.3,TPOX,7,0.0215
USAf.3,TPOX,8,0.3684
USAf.3,TPOX,9,0.1818
USAf.3,TPOX,10,0.0933
USAf.3,TPOX,11,0.2249
USAf.3,TPOX,12,0.0239
USAf.3,D16S539,8,0.0359
USAf.3,D16S539,9,0.1986
USAf.3,D16S539,10,0.11
USAf.3,D16S539,11,0.2943
USAf.3,D16S539,12,0.1866
USAf.3,D16S539,13,0.1651
USAf.3,D16S539,14,0.0096
USAf.3,D13S317,8,0.0363
USAf.3,D13S317,9,0.0279
USAf.3,D13S317,10,0.0503
USAf.3,D13S317,11,0.2374
USAf.3,D13S317,12,0.4832
USAf.3,D13S317,13,0.1257
USAf.3,D13S317,14,0.0363
USAf.3,D13S317,15,0.0028
USAf.3,D5S818,7,0.0028
USAf.3,D5S818,8,0.05
USAf.3,D5S818,9,0.0139
USAf.3,D5S818,10,0.0635
USAf.3,D5S818,11,0.2611
USAf.3,D5S818,12,0.3556
USAf.3,D5S818,13,0.2444
USAf.3,D5S818,14,0.0056
USAf.3,D5S818,16,0.0028
USAf.3,D21S11,24.2,0.0028
USAf.3,D21S11,26,0.0028
USAf.3,D21S11,27,0.0615
USAf.3,D21S11,28,0.2151
USAf.3,D21S11,29,0.1899
USAf.3,D21S11,29.2,0.0028
USAf.3,D21S11,30,0.1788
USAf.3,D21S11,30.2,0.0084
USAf.3,D21S11,31,0.0922
USAf.3,D21S11,31.2,0.0754
USAf.3,D21S11,32,0.0084
USAf.3,D21S11,32.2,0.0698
