TRINIDADIAN ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0000,0.0063,0.1456,0.0759,0.0000,,0.2278,,0.0949,0.0000,0.0253,0.3797,,0.0000,0.0000,0.1392,0.1646,0.0127,0.0316,0.2405,0.1392,,0.0000,0.0974,0.0844,13,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2,,,,,,,,,0.0063,,,0.0443,,,,,,,0.0063,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,
13.3,,,0.0063,,,,,,,,0.0000,,0.0000,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0570,0.0886,0.0316,0.0127,0.0000,,0.2468,,0.1076,,0.2089,0.1582,,0.0000,0.1266,0.0253,0.0886,0.0000,0.0506,0.2532,0.1835,0.0000,0.0000,0.0584,0.0390,14,,,,,,,,,,,,,,,,,,,,,,,,,,
14.2,,,,,,,,,0.0000,,,0.0506,,,,,,,0.0063,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,
14.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0000,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.3165,0.1329,0.0000,0.0000,0.0000,,0.1835,,0.1519,,0.0127,0.0759,,0.0000,0.2405,0.0000,0.0000,0.0000,0.0380,0.2405,0.1899,0.0570,0.0000,0.0844,0.0195,15,,,,,,,,,,,,,,,,,,,,,,,,,,
15.2,0.0000,,,,,,,,0.0000,,,0.0949,,,,,,,0.0000,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,
15.3,,,,,,,,,,,,,,,,,,,,,0.0063,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.3101,0.2975,,,,,0.0633,,0.2089,,0.0000,0.0190,,0.0000,0.2025,0.0063,0.0000,,0.0506,0.1456,0.1076,0.0506,0.0316,0.0519,0.0000,16,,,,,,,,,,,,,,,,,,,,,,,,,,
16.1,,,,,,,,,,,,,,0.0000,,,,,,,0.0000,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,
16.2,,,,,,,,,,,,0.0190,,,,,,,0.0000,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,
16.3,,,,,,,,,,,,,,,,,,,0.0063,,0.0886,0.0000,,,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.2025,0.2658,,,,,0.0000,,0.0570,,0.0000,0.0000,,0.0000,0.1456,0.0000,,,0.1013,0.0190,0.0253,0.1646,0.1203,0.0909,0.0000,17,,,,,,,,,,,,,,,,,,,,,,,,,,
17.1,,,,,,,,,,,,,,,,,,,,,,0.0063,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,,,,,,,,,,,,0.0000,,0.0000,,,,,0.0000,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0633,0.0063,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.1139,0.1392,,,,,0.0000,,0.0506,,,,,0.0127,0.0000,0.0000,,,0.1013,0.0063,0.0000,0.2975,0.0570,0.0260,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
18.2,,,,,,,,,,,,0.0000,,0.0000,,,,,0.0000,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,
18.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0190,0.0000,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0000,0.0506,,,,,0.0000,,0.0886,,,,,0.0570,0.0000,,,,0.0886,0.0000,0.0063,0.1392,0.2152,0.0195,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,0.0000,,0.0000,,,,,0.0000,,,0.0063,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,
19.3,,,,,,,,,,,,,,,,,,,,,0.0063,0.0000,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0000,0.0127,,,,,,,0.0759,,,,,0.0949,0.0000,,,,0.1013,,,0.1392,0.0823,0.0065,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
20.1,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,
20.2,,,,,,,,,,,,,,0.0000,,,,,0.0000,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,
20.3,,,,,,,,,,,,,,0.0000,,,,,,,0.0063,0.0000,,,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0.0000,,,,,,,0.0443,,,,,0.1013,,,,,0.0570,,,0.0316,0.1266,0.0000,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
