Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D
13.3,,,,,,,,,,,,,0.0000,,,,,,,,,,,,
14,0.1386,0.0990,0.0322,0.0149,0.0000,,0.2054,,0.1757,,0.2624,0.3490,,0.0000,0.0619,0.0074,0.0347,0.0074,0.0272,0.2748,0.0916,0.0000,0.0000,0.0718,0.0545
14.2,,,,,,,,,0.0000,,,0.0099,,,,,,,0.0025,,,,,,
14.3,,,,,,,,,,,,,,,,,,,,,0.0074,,,,
15,0.2475,0.1139,0.0025,0.0050,0.0000,,0.1064,,0.1337,,0.0520,0.1436,,0.0000,0.3639,0.0025,0.0000,0.0000,0.0421,0.1733,0.1436,0.0396,0.0000,0.0421,0.0149
15.2,,,,,,,,,,,,0.0248,,,,,,,,,,,,,
15.3,,,,,,,,,,,,,,,,,,,,,0.0594,,,,
16,0.2327,0.2054,,,,,0.0124,,0.1040,,0.0074,0.0396,,0.0000,0.3168,0.0000,0.0000,,0.0421,0.1312,0.1114,0.0421,0.0297,0.0446,0.0000
16.2,,,,,,,,,,,,0.0198,,,,,,,,,,,,,
16.3,,,,,,,,,,,,,,,,,,,0.0025,,0.0520,,,,
16.4,,,,,,,,,,,,,,,,,,,,,,,,0.0025,
17,0.2104,0.2673,,,,,0.0025,,0.1535,,0.0000,0.0025,,0.0000,0.0965,0.0000,,,0.0718,0.0396,0.0569,0.1040,0.1931,0.0693,0.0000
17.2,,,,,,,,,,,,0.0050,,,,,,,,,,,,,
17.3,,,,,,,,,,,,,,,,,,,0.0025,,0.1510,0.0248,,,
18,0.1634,0.2178,,,,,0.0000,,0.0916,,,,,0.0297,0.0050,0.0000,,,0.0792,0.0025,,0.1757,0.0668,0.0297,
18.2,,,,,,,,,,,,0.0025,,,,,,,,,,,,,
18.3,,,,,,,,,,,,,,,,,,,0.0025,,0.0718,0.0198,,,
19,0.0050,0.0817,,,,,0.0000,,0.0347,,,,,0.0545,0.0000,,,,0.0668,0.0000,,0.1064,0.1510,0.0124,
19.2,,,,,,,,,,,,0.0000,,,,,,,0.0050,,,,,,
19.3,,,,,,,,,,,,,,,,,,,,,0.0124,0.0099,,,
20,0.0000,0.0099,,,,,,,0.0248,,,,,0.1436,,,,,0.0421,,,0.1040,0.1485,0.0124,
20.2,,,,,,,,,,,,,,0.0025,,,,,0.0173,,,,,,
20.3,,,,,,,,,,,,,,,,,,,,,0.0000,0.0025,,,
21,,0.0000,,,,,,,0.0050,,,,,0.1757,,,,,0.0248,,,0.1337,0.0198,0.0074,
21.2,,,,,,,,,,,,,,,,,,,0.0124,,,,,,
22,,0.0000,,,,,,,0.0025,,,,,0.1881,,,,,0.0050,,,0.1040,0.0297,0.0000,
22.2,,,,,,,,,,,,,,0.0099,,,,,0.0272,,,,,,
23,,0.0000,,,,,,,0.0000,,,,,0.1584,,,,,0.0050,,,0.0743,0.1213,0.0000,
23.2,,,,,,,,,,,,,,,,,,,0.0421,,,,,,
24,,0.0000,,,,,,0.0000,0.0000,,,,,0.1386,,,,,0.0025,,,0.0272,0.1213,0.0000,
24.2,,,,,,,,0.0050,,,,,,,,,,,0.0297,,,,,,
25,,,,,,,,0.0000,0.0000,,,,,0.0718,,,,,0.0025,,,0.0248,0.0965,,
25.2,,,,,,,,,,,,,,,,,,,0.0495,,,,,,
26,,,,,,,,0.0000,0.0000,,,,,0.0173,,,,,,,,0.0050,0.0223,,
26.2,,,,,,,,,,,,,,0.0000,,,,,0.0371,,,,,,
27,,,,,,,,0.0446,0.0000,,,,,0.0099,,,,,,,,0.0025,0.0000,,
27.2,,,,,,,,,,,,,,,,,,,0.0644,,,,,,
28,,,,,,,,0.1683,,,,,,0.0000,,,,,,,,,0.0000,,
28.2,,,,,,,,0.0000,,,,,,,,,,,0.0693,,,,,,
29,,,,,,,,0.1807,,,,,,0.0000,,,,,,,,,,,
29.2,,,,,,,,0.0000,,,,,,,,,,,0.0916,,,,,,
30,,,,,,,,0.2327,,,,,,0.0000,,,,,,,,,,,
30.2,,,,,,,,0.0396,,,,,,0.0000,,,,,0.0545,,,,,,
31,,,,,,,,0.0718,,,,,,,,,,,,,,,,,
31.2,,,,,,,,0.1015,,,,,,0.0000,,,,,0.0297,,,,,,
32,,,,,,,,0.0149,,,,,,,,,,,0.0025,,,,,,
32.2,,,,,,,,0.1089,,,,,,0.0000,,,,,0.0099,,,,,,
33,,,,,,,,0.0000,,,,,,,,,,,,,,,,,
33.2,,,,,,,,0.0297,,,,,,0.0000,,,,,0.0074,,,,,,
34,,,,,,,,0.0000,,,,,,,,,,,0.0025,,,,,,
34.2,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,
35,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,
35.2,,,,,,,,0.0025,,,,,,,,,,,0.0000,,,,,,
36,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,
37,,,,,,,,0,,,,,,,,,,,0,,,,,,
38,,,,,,,,0,,,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,
43.2,,,,,,,,,,,,,,0,,,,,,,,,,,
44.2,,,,,,,,,,,,,,0,,,,,,,,,,,
45.2,,,,,,,,,,,,,,0,,,,,,,,,,,
46.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,
47.2,,,,,,,,,,,,,,0,,,,,,,,,,,
48.2,,,,,,,,,,,,,,0,,,,,,,,,,,
50.2,,,,,,,,,,,,,,0,,,,,,,,,,,
51.2,,,,,,,,,,,,,,0,,,,,,,,,,,
