SOUTHWEST HISPANIC ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,
29,,,,,,,,0.2081,,,,,,0.0000,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,
29.2,,,,,,,,0.0024,,,,,,,,,,,0.0670,,,,,,,29.2,,,,,,,,,,,,,,,,,,
30,,,,,,,,0.3230,,,,,,0.0000,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,
30.2,,,,,,,,0.0335,,,,,,0.0000,,,,,0.0526,,,,,,,30.2,,,,,,,,,,,,,,,,,,
31,,,,,,,,0.0694,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,
31.2,,,,,,,,0.0837,,,,,,0.0000,,,,,0.0407,,,,,,,31.2,,,,,,,,,,,,,,,,,,
32,,,,,,,,0.0144,,,,,,,,,,,0.0000,,,,,,,32,,,,,,,,,,,,,,,,,,
32.2,,,,,,,,0.1364,,,,,,0.0000,,,,,0.0239,,,,,,,32.2,,,,,,,,,,,,,,,,,,
33,,,,,,,,0.0000,,,,,,,,,,,0.0024,,,,,,,33,,,,,,,,,,,,,,,,,,
33.2,,,,,,,,0.0407,,,,,,0.0000,,,,,0.0000,,,,,,,33.2,,,,,,,,,,,,,,,,,,
34,,,,,,,,0.0000,,,,,,,,,,,0.0024,,,,,,,34,,,,,,,,,,,,,,,,,,
34.2,,,,,,,,0.0048,,,,,,,,,,,0.0000,,,,,,,34.2,,,,,,,,,,,,,,,,,,
35,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,35,,,,,,,,,,,,,,,,,,
35.2,,,,,,,,0,,,,,,,,,,,0,,,,,,,35.2,,,,,,,,,,,,,,,,,,
36,,,,,,,,0,,,,,,,,,,,0,,,,,,,36,,,,,,,,,,,,,,,,,,
37,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,37,,,,,,,,,,,,,,,,,,
38,,,,,,,,0,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,0,,,,,,,,,,,,42.2,,,,,,,,,,,,,,,,,,
