FILIPINO ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
16.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0220,,,,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.3516,0.2582,,,,,0.0055,,0.1209,,0.0000,0.0000,,0.0055,0.1429,0.0000,,,0.0385,0.0385,0.0385,0.0549,0.0989,0.0495,0.0000,17,,,,,,,,,,,,,,,,,,,,,,,,,,
17.1,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,,,,,,,,,,,,0.0055,,0.0000,,,,,0.0000,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0604,0.0000,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0769,0.2143,,,,,0.0000,,0.0330,,,,,0.0110,0.0110,0.0000,,,0.0275,0.0000,0.0000,0.1758,0.0659,0.0714,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
18.2,,,,,,,,,,,,0.0000,,0.0000,,,,,,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,
18.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0055,0.0000,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0055,0.0604,,,,,0.0000,,0.0659,,,,,0.1099,0.0000,,,,0.0275,0.0000,0.0000,0.2143,0.2308,0.0769,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1,,,,,,,,,,,,,,,,,,,,,,0.0055,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,0.0000,,0.0000,,,,,0.0000,,,0.0000,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,
