JAMAICAN ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0.0000,,,,,,,0.0141,,,,,0.1864,,,,,0.0199,,,0.0339,0.1695,0.0000,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
22.2,,,,,,,,,,,,,,0.0000,,,,,0.0028,,,,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,
22.3,,,,,,,,,,,,,,0.0000,,,,,,,,,0.0000,,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,0.0000,,,,,,,0.0028,,,,,0.1893,,,,,0.0028,,,0.0311,0.1271,0.0000,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
23.2,,,,,,,,,,,,,,0.0000,,,,,0.0142,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,0.0000,,,,,,0.0000,0.0028,,,,,0.1412,,,,,0.0000,,,0.0113,0.0621,0.0000,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
24.2,,,,,,,,0.0000,,,,,,,,,,,0.0142,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,
24.3,,,,,,,,0.0028,,,,,,0.0028,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,0.0000,0.0000,,,,,0.1158,,,,,0.0000,,,0.0056,0.0650,0.0000,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
25.2,,,,,,,,,,,,,,,,,,,0.0369,,,,,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,0.0000,0.0000,,,,,0.0480,,,,,0.0000,,,0.0000,0.0198,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
26.2,,,,,,,,,,,,,,0.0000,,,,,0.0568,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,0.0706,0.0000,,,,,0.0537,,,,,0.0000,,,0.0000,0.0056,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
>27,,,,,,,,,,,,,,,,,,,,,,,,,,>27,,,,,,,,,,,,,,,,,,,,,,,,,,
27.2,,,,,,,,,,,,,,,,,,,0.0540,,,,,,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,
