CHAMORRO ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0000,0.0000,0.2579,0.2526,0.3421,,0.0579,,0.0053,0.2813,0.2316,0.0000,0.0000,,0.1105,0.2632,0.4211,0.2737,0.0000,0.0000,0.0947,,0.0000,0.0895,0.1105,11,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2,,,,,,,,,,,,0.0000,,,,,,,0.0000,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,0.1053,,,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0000,0.0000,0.1842,0.4263,0.0421,,0.0632,,0.1053,0.0156,0.1053,0.0263,,,0.0000,0.3316,0.1789,0.2579,0.0053,0.0474,0.0526,,0.0000,0.0737,0.0737,12,,,,,,,,,,,,,,,,,,,,,,,,,,
12.2,,,,,,,,,,,,0.0158,,,,,,,0.0000,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,
12.3,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0053,0.0000,0.0947,0.0789,0.0000,,0.3737,,0.0684,0.0000,0.0053,0.3526,,0.0000,0.0000,0.1474,0.0684,0.0316,0.0000,0.4579,0.0526,,0.0000,0.0316,0.1211,13,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2,,,,,,,,,0.0000,,,0.0474,,,,,,,0.0000,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,
13.3,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0526,0.1316,0.0263,0.0000,0.0000,,0.1526,,0.1632,,0.1842,0.2368,,0.0000,0.0316,0.0105,0.0053,0.0000,0.0000,0.2053,0.1158,0.0000,0.0000,0.0632,0.1105,14,,,,,,,,,,,,,,,,,,,,,,,,,,
14.2,,,,,,,,,0.0000,,,0.0947,,,,,,,0.0000,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,
14.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0000,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.2842,0.1421,0.0000,0.0000,0.0000,,0.0895,,0.2105,,0.0105,0.0947,,0.0000,0.3789,0.0000,0.0000,0.0000,0.0316,0.1737,0.1526,0.0105,0.0000,0.1263,0.0053,15,,,,,,,,,,,,,,,,,,,,,,,,,,
15.2,,,,,,,,,,,,0.0947,,,,,,,0.0000,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,
15.3,,,,,,,,,,,,,,,,,,,,,0.0158,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.2895,0.1579,,,,,0.0947,,0.1158,,0.0000,0.0000,,0.0000,0.1895,0.0000,0.0000,,0.0316,0.0789,0.1158,0.0211,0.0368,0.1105,0.0105,16,,,,,,,,,,,,,,,,,,,,,,,,,,
16.1,,,,,,,,,,,,,,0.0000,,,,,,,0.0000,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,
16.2,,,,,,,,,,,,0.0211,,,,,,,0.0000,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,
16.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0053,,,,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.2579,0.3158,,,,,0.0053,,0.1684,,0.0000,0.0000,,0.0000,0.2421,0.0000,,,0.0368,0.0211,0.0789,0.0895,0.1053,0.1053,0.0000,17,,,,,,,,,,,,,,,,,,,,,,,,,,
17.1,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,,,,,,,,,,,,0.0158,,0.0000,,,,,0.0000,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3,,,,,,,,,,,,,,,,,,,0.0000,,0.2526,0.0000,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.1105,0.1737,,,,,0.0105,,0.0316,,,,,0.0053,0.0474,0.0000,,,0.0368,0.0053,0.0158,0.3263,0.0789,0.0842,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
18.2,,,,,,,,,,,,0.0000,,0.0000,,,,,,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,
18.3,,,,,,,,,,,,,,,,,,,0.0000,,0.0263,0.0105,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0000,0.0737,,,,,0.0000,,0.0211,,,,,0.0632,0.0000,,,,0.0368,0.0000,0.0053,0.1526,0.2000,0.1000,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,0.0000,,0.0000,,,,,0.0053,,,0.0000,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,
19.3,,,,,,,,,,,,,,,,,,,,,0.0053,0.0105,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0000,0.0053,,,,,,,0.0684,,,,,0.0684,0.0000,,,,0.0316,,,0.1368,0.1158,0.0526,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
20.2,,,,,,,,,,,,,,0.0000,,,,,0.0053,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,
20.3,,,,,,,,,,,,,,0.0000,,,,,,,0.0053,0.0000,,0.0053,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0.0000,,,,,,,0.0211,,,,,0.0842,,,,,0.0158,,,0.0684,0.0105,0.0263,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2,,,,,,,,,,,,,,0.0000,,,,,0.0053,,,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0.0000,,,,,,,0.0105,,,,,0.2368,,,,,0.0053,,,0.1000,0.0842,0.0000,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
22.2,,,,,,,,,,,,,,0.0000,,,,,0.0053,,,,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,0.0000,,,,,,,0.0053,,,,,0.1105,,,,,0.0000,,,0.0421,0.1789,0.0000,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
23.2,,,,,,,,,,,,,,0.0000,,,,,0.0158,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,0.0000,,,,,,0.0000,0.0000,,,,,0.2053,,,,,0.0000,,,0.0158,0.1105,0.0000,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
24.2,,,,,,,,0.0000,,,,,,0.0000,,,,,0.0263,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,
24.3,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,0.0000,0.0000,,,,,0.1053,,,,,0.0000,,,0.0158,0.0632,0.0000,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
25.2,,,,,,,,,,,,,,,,,,,0.0421,,,,,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,
25.3,,,,,,,,,,,,,,,,,,,0.0211,,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,0.0000,0.0000,,,,,0.1053,,,,,0.0000,,,0.0000,0.0105,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
26.2,,,,,,,,,,,,,,0.0000,,,,,0.1316,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,
26.3,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,0.0053,0.0000,,,,,0.0158,,,,,0.0000,,,0.0000,0.0053,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
>27,,,,,,,,,,,,,,,,,,,,,,,,,,>27,,,,,,,,,,,,,,,,,,,,,,,,,,
27.2,,,,,,,,,,,,,,,,,,,0.1632,,,,,,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,0.0632,,,,,,0.0000,,,,,0.0000,,,,0.0000,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,
28.2,,,,,,,,0.0000,,,,,,,,,,,0.1316,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,0.1947,,,,,,0.0000,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
29.2,,,,,,,,0.0000,,,,,,,,,,,0.0684,,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,
29.3,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,0.1842,,,,,,0.0000,,,,,0.0000,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
30.2,,,,,,,,0.0053,,,,,,0.0000,,,,,0.1000,,,,,,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,0.2105,,,,,,0.0000,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,
31.2,,,,,,,,0.0526,,,,,,0.0000,,,,,0.0421,,,,,,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,0.0316,,,,,,,,,,,0.0000,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
32.2,,,,,,,,0.1526,,,,,,0.0000,,,,,0.0053,,,,,,,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,
33.2,,,,,,,,0.0632,,,,,,0.0000,,,,,0.0000,,,,,,,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,
34.1,,,,,,,,0.0053,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2,,,,,,,,0.0263,,,,,,,,,,,0.0000,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,0.0053,,,,,,,,,,,0.0000,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
35.2,,,,,,,,0,,,,,,,,,,,0,,,,,,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,0,,,,,,,,,,,0,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,0,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,0,,,,,,,,,,,,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,
44.2,,,,,,,,,,,,,,0,,,,,,,,,,,,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,0,,,,,,,,,,,,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2,,,,,,,,,,,,,,0,,,,,,,,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,
47.2,,,,,,,,,,,,,,0,,,,,,,,,,,,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,
48.2,,,,,,,,,,,,,,0,,,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,0,,,,,,,,,,,,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,
51.2,,,,,,,,,,,,,,0,,,,,,,,,,,,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
N,190,190,190,190,190,64,190,190,190,128,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where N = number of alleles typed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
